이름,주소,전화번호,메뉴,영업시간
서울경복궁 갈비구이&불고기,"경기도 광명시 양달로 8 4층 지번
지도보기",0507-1490-9320,"명품한정식코스/ 한우 설화등심코스: 85,000원
명품한정식코스/ 명품 생갈비 코스: 65,000원
명품한정식코스/ 양념갈비코스: 60,000원
명품한정식코스/ 상견레 한정식코스: 65,000원
알찬실속 단품/ 한우 살치살: 66,000원
알찬실속 단품/ 설화등심: 58,000원
알찬실속 단품/ 생갈비: 49,000원
알찬실속 단품/ 양념갈비: 43,000원
인기많은 단품/ 한우 양념 불고기: 24,000원
최고급추가메뉴/ 일품 소갈비찜 (대): 67,000원
최고급 추가메뉴/ 한우 양념육회: 30,000원
평일 점심특선/ 런치한정식B(맛갈비): 25,000원
평일 점심특선/ 런치한정식C(불고기): 19,000원
평일점심특선/ 런치한정식 D(떡갈비): 19,000원
식사메뉴/ 한우 육회비빔밥: 14,000원
식사메뉴/ 갈비탕: 14,000원
식사메뉴/ 뚝배기 불고기: 13,000원
최고급 추가메뉴/ 일품 소갈비찜(중): 35,000원
추가식사메뉴/ 보리굴비: 25,000원
추가식사메뉴/ 뚝배기 불고기: 13,000원
추가식사메뉴/ 누룽지: 3,000원
평일 점심특선/보리굴비: 30,000원
평일 점심특선/ 런치한정식A(갈비찜): 29,000원
식사메뉴/ 뚝배기 갈비찜: 16,000원
식사메뉴/ 한우 시래기국밥: 12,000원
식사메뉴/ 육개장: 10,000원
식사메뉴/집접 뽑은 냉면: 10,000원
추가식사메뉴/ 된장찌개: 5,000원
추가식사메뉴/ 맛보기냉면: 5,000원
추가식사메뉴/ 공기밥: 1,500원
365일 포장판매: 
명품한정식코스/ 한우 설화등심코스: 85,000원
명품한정식코스/ 명품 생갈비 코스: 65,000원
명품한정식코스/ 양념갈비코스: 60,000원
명품한정식코스/ 상견레 한정식코스: 65,000원
알찬실속 단품/ 한우 살치살: 66,000원
알찬실속 단품/ 설화등심: 58,000원
알찬실속 단품/ 생갈비: 49,000원
알찬실속 단품/ 양념갈비: 43,000원
인기많은 단품/ 한우 양념 불고기: 24,000원
최고급추가메뉴/ 일품 소갈비찜 (대): 67,000원
최고급 추가메뉴/ 한우 양념육회: 30,000원
평일 점심특선/ 런치한정식B(맛갈비): 25,000원
평일 점심특선/ 런치한정식C(불고기): 19,000원
평일점심특선/ 런치한정식 D(떡갈비): 19,000원
식사메뉴/ 한우 육회비빔밥: 14,000원
식사메뉴/ 갈비탕: 14,000원
식사메뉴/ 뚝배기 불고기: 13,000원
최고급 추가메뉴/ 일품 소갈비찜(중): 35,000원
추가식사메뉴/ 보리굴비: 25,000원
추가식사메뉴/ 뚝배기 불고기: 13,000원
추가식사메뉴/ 누룽지: 3,000원
평일 점심특선/보리굴비: 30,000원
평일 점심특선/ 런치한정식A(갈비찜): 29,000원
식사메뉴/ 뚝배기 갈비찜: 16,000원
식사메뉴/ 한우 시래기국밥: 12,000원
식사메뉴/ 육개장: 10,000원
식사메뉴/집접 뽑은 냉면: 10,000원
추가식사메뉴/ 된장찌개: 5,000원
추가식사메뉴/ 맛보기냉면: 5,000원
추가식사메뉴/ 공기밥: 1,500원
365일 포장판매: ","{
    ""월"": {
        ""영업시간"": ""11:30 - 21:30"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""21:00""
    },
    ""화"": {
        ""영업시간"": ""11:30 - 21:30"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""21:00""
    },
    ""수"": {
        ""영업시간"": ""11:30 - 21:30"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""21:00""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)11:30 - 21:30"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""21:00""
    },
    ""금"": {
        ""영업시간"": ""11:30 - 21:30"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""21:00""
    },
    ""토"": {
        ""영업시간"": ""11:30 - 21:30"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""21:00""
    },
    ""일"": {
        ""영업시간"": ""11:30 - 21:30"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""21:00""
    }
}"
돼지집,"경기도 광명시 기아로 56 1, 2층 돼지집 지번
지도보기",0507-1362-9407,"통돼지두루치기: 12,000원
돼지집생삼겹살: 17,000원
라면사리: 2,500원
손두부: 3,500원
떡사리: 3,500원
고기추가: 8,000원
공기밥추가: 1,000원
돌솥밥 추가: 2,000원
도시락 김: 2,000원
음료수: 2,000원
소주: 5,000원
맥주: 5,000원
막걸리: 5,000원
청하: 6,000원
매화수: 6,000원
통돼지두루치기: 12,000원
돼지집생삼겹살: 17,000원
라면사리: 2,500원
손두부: 3,500원
떡사리: 3,500원
고기추가: 8,000원
공기밥추가: 1,000원
돌솥밥 추가: 2,000원
도시락 김: 2,000원
음료수: 2,000원
소주: 5,000원
맥주: 5,000원
막걸리: 5,000원
청하: 6,000원
매화수: 6,000원","{
    ""월"": {
        ""영업시간"": ""08:30 - 23:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""22:20""
    },
    ""화"": {
        ""영업시간"": ""08:30 - 23:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""22:20""
    },
    ""수"": {
        ""영업시간"": ""08:30 - 23:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""22:20""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)08:30 - 23:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""22:20""
    },
    ""금"": {
        ""영업시간"": ""08:30 - 23:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""22:20""
    },
    ""토"": {
        ""영업시간"": ""08:30 - 23:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""22:20""
    },
    ""일"": {
        ""영업시간"": ""08:30 - 23:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""22:20""
    }
}"
보릿골,"경기도 광명시 오리로619번길 27 지번
지도보기",02-898-1310,"보리밥 정식: 11,000원
보쌈(대): 45,000원
보쌈(소): 30,000원
숯불제육구이: 32,000원
해물파전: 15,000원
부추전: 13,000원
장떡: 13,000원
숯불제육구이정식 2인: 26,000원
청국장버섯전골 대: 42,000원
청국장버섯전골소: 26,000원
도토리묵무침: 13,000원
어린이돈까스: 8,000원
공기밥: 2,000원
생청국장(포장): 4,500원
되비지(포장): 8,000원
보리밥 정식: 11,000원
보쌈(대): 45,000원
보쌈(소): 30,000원
숯불제육구이: 32,000원
해물파전: 15,000원
부추전: 13,000원
장떡: 13,000원
숯불제육구이정식 2인: 26,000원
청국장버섯전골 대: 42,000원
청국장버섯전골소: 26,000원
도토리묵무침: 13,000원
어린이돈까스: 8,000원
공기밥: 2,000원
생청국장(포장): 4,500원
되비지(포장): 8,000원","{
    ""월"": {
        ""영업시간"": ""11:00 - 20:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""화"": {
        ""영업시간"": ""11:00 - 20:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""수"": {
        ""영업시간"": ""11:00 - 20:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)11:00 - 20:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""금"": {
        ""영업시간"": ""11:00 - 20:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""토"": {
        ""영업시간"": ""11:00 - 20:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""일"": {
        ""영업시간"": ""11:00 - 20:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    }
}"
막이오름 광명일직점,"경기도 광명시 신기로17번길 3 지번
지도보기",02-897-6554,"★인기★한우 육회&국수: 25,000원
★NEW★김치우동어묵탕: 18,000원
★NEW★꼬치어묵탕: 17,000원
★인기★우대창전골: 25,000원
★인기★수육전골: 25,000원
★NEW★불맛매콤오징어: 17,000원
★NEW★김치볶음밥: 5,500원
★NEW★김가루계란밥: 3,500원
★NEW★오.파.튀: 5,000원
★NEW★막이오크25도: 8,000원
★NEW★막이오크 하이볼: 6,000원
크림바지락술찜: 16,900원
콘치즈나쵸치킨: 16,000원
꿀망토: 7,000원
★인기★스위트애플하이볼: 6,000원
★인기★딸바막걸리: 10,000원
이십세주: 9,900원
★NEW★쫄수육무침: 16,000원
백걸리하이볼(샤인머스켓): 6,000원
백걸리하이볼(피치): 6,000원
오십세주: 11,900원
조선하이볼: 6,000원
누룽지 치즈 불닭: 17,000원
매콤해물토마토스튜: 16,000원
**인기**1kg빽합탕: 18,000원
매콤제육숙주볶음: 14,000원
氷얼음화채: 9,900원
氷막걸리빙수(청사과맛): 9,900원
氷막걸리빙수(자몽맛): 9,900원
우삼겹국물떡볶이: 10,900원
카레닭똥집튀김: 9,000원
치즈베이컨감자튀김: 9,900원
★인기★눈꽃베이컨감자전: 12,900원
빽햄김치전: 12,900원
오징어새우파전: 14,900원
계란 볶음밥: 5,000원
쥐포구이: 7,000원
대구포 구이: 9,000원
반건조 오징어 구이: 12,900원
통오족구이: 9,900원
바사삭 먹태 구이: 14,000원
먹태&쥐포구이: 17,000원
★인기★피치하이볼: 6,000원
★인기★미상모히또하이볼: 6,000원
오미자레드하이볼: 6,000원
★인기★고흥유자하이볼: 6,000원
★인기★두레앙포도하이볼: 6,000원
★인기★스모키얼그레이하이볼: 6,000원
짐빔하이볼: 6,000원
★인기★오리지널애플하이볼: 6,000원
안동일품하이볼: 6,000원
★추천★서울고량하이볼: 6,000원
만월복분자하이볼: 6,000원
★인기★한우 육회&국수: 25,000원
★NEW★김치우동어묵탕: 18,000원
★NEW★꼬치어묵탕: 17,000원
★인기★우대창전골: 25,000원
★인기★수육전골: 25,000원
★NEW★불맛매콤오징어: 17,000원
★NEW★김치볶음밥: 5,500원
★NEW★김가루계란밥: 3,500원
★NEW★오.파.튀: 5,000원
★NEW★막이오크25도: 8,000원
★NEW★막이오크 하이볼: 6,000원
크림바지락술찜: 16,900원
콘치즈나쵸치킨: 16,000원
꿀망토: 7,000원
★인기★스위트애플하이볼: 6,000원
★인기★딸바막걸리: 10,000원
이십세주: 9,900원
★NEW★쫄수육무침: 16,000원
백걸리하이볼(샤인머스켓): 6,000원
백걸리하이볼(피치): 6,000원
오십세주: 11,900원
조선하이볼: 6,000원
누룽지 치즈 불닭: 17,000원
매콤해물토마토스튜: 16,000원
**인기**1kg빽합탕: 18,000원
매콤제육숙주볶음: 14,000원
氷얼음화채: 9,900원
氷막걸리빙수(청사과맛): 9,900원
氷막걸리빙수(자몽맛): 9,900원
우삼겹국물떡볶이: 10,900원
카레닭똥집튀김: 9,000원
치즈베이컨감자튀김: 9,900원
★인기★눈꽃베이컨감자전: 12,900원
빽햄김치전: 12,900원
오징어새우파전: 14,900원
계란 볶음밥: 5,000원
쥐포구이: 7,000원
대구포 구이: 9,000원
반건조 오징어 구이: 12,900원
통오족구이: 9,900원
바사삭 먹태 구이: 14,000원
먹태&쥐포구이: 17,000원
★인기★피치하이볼: 6,000원
★인기★미상모히또하이볼: 6,000원
오미자레드하이볼: 6,000원
★인기★고흥유자하이볼: 6,000원
★인기★두레앙포도하이볼: 6,000원
★인기★스모키얼그레이하이볼: 6,000원
짐빔하이볼: 6,000원
★인기★오리지널애플하이볼: 6,000원
안동일품하이볼: 6,000원
★추천★서울고량하이볼: 6,000원
만월복분자하이볼: 6,000원","{
    ""월"": {
        ""영업시간"": ""17:00 - 01:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""화"": {
        ""영업시간"": ""17:00 - 01:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""수"": {
        ""영업시간"": ""17:00 - 01:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)17:00 - 01:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""금"": {
        ""영업시간"": ""17:00 - 01:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""토"": {
        ""영업시간"": ""17:00 - 01:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""일"": {
        ""영업시간"": ""휴무일""
    }
}"
예소담 나주곰탕,"경기도 광명시 밤일로 33-1 지번
지도보기",02-871-3216,"나주곰탕: 12,000원
한우육회비빔밥: 13,000원
왕갈비곰탕: 19,000원
꼬도리탕: 22,000원
수제떡갈비: 14,000원
수육: 25,000원
모듬전골: 65,000원
한우육회: 35,000원
낙지비빔밥: 13,000원
갈비찜 대: 65,000원
갈비찜 소: 45,000원
나주곰탕: 12,000원
한우육회비빔밥: 13,000원
왕갈비곰탕: 19,000원
꼬도리탕: 22,000원
수제떡갈비: 14,000원
수육: 25,000원
모듬전골: 65,000원
한우육회: 35,000원
낙지비빔밥: 13,000원
갈비찜 대: 65,000원
갈비찜 소: 45,000원","{
    ""월"": {
        ""영업시간"": ""10:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""화"": {
        ""영업시간"": ""10:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""수"": {
        ""영업시간"": ""10:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)10:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""금"": {
        ""영업시간"": ""10:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""토"": {
        ""영업시간"": ""10:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""일"": {
        ""영업시간"": ""10:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    }
}"
옥된장 광명철산점,"경기도 광명시 디지털로 25 1층 108호 지번
지도보기",0507-1380-6586,"모둠 수육전골 大 500g: 52,000원
모둠 수육무침 250g: 35,000원
소꼬리 전골 大 900g: 95,000원
소고기삼겹 된장전골: 13,000원
바지락 大 된장전골: 26,000원
(점심특선) 소고기삼겹 된장전골: 11,000원
(점심특선) 바지락 大 된장전골: 22,000원
[New] 오징어바지락볶음: 25,000원
[New] 뼈 갈비전골 大 1200g: 85,000원
뼈 갈비전골 中 800g: 55,000원
매운 뼈 갈비전골 大 1200g: 88,000원
매운 뼈 갈비전골 中 800g: 58,000원
모둠 수육전골 中 300g: 35,000원
매운 소꼬리 전골 大 900g: 98,000원
매운 소꼬리 전골 中 600g: 68,000원
소꼬리 전골 中 600g: 65,000원
오징어미나리전: 20,000원
우렁미나리전: 15,000원
우렁 칼국수무침: 19,000원
소고기삼겹 두부김치: 15,000원
칼칼한 바지락탕: 15,000원
칼칼한 굴탕: 15,000원
매운 소고기 두부전골: 18,000원
스지 된장전골: 14,000원
표고버섯 된장전골: 13,000원
들깨 된장전골: 12,000원
우렁 된장전골: 13,000원
굴 된장전골: 13,000원
(점심특선) 스지 된장전골: 12,000원
(점심특선) 표고버섯 된장전골: 11,000원
(점심특선) 굴 된장전골: 11,000원
(점심특선) 우렁 된장전골: 11,000원
(점심특선) 들깨 된장전골: 10,000원
모둠 수육전골 大 500g: 52,000원
모둠 수육무침 250g: 35,000원
소꼬리 전골 大 900g: 95,000원
소고기삼겹 된장전골: 13,000원
바지락 大 된장전골: 26,000원
(점심특선) 소고기삼겹 된장전골: 11,000원
(점심특선) 바지락 大 된장전골: 22,000원
[New] 오징어바지락볶음: 25,000원
[New] 뼈 갈비전골 大 1200g: 85,000원
뼈 갈비전골 中 800g: 55,000원
매운 뼈 갈비전골 大 1200g: 88,000원
매운 뼈 갈비전골 中 800g: 58,000원
모둠 수육전골 中 300g: 35,000원
매운 소꼬리 전골 大 900g: 98,000원
매운 소꼬리 전골 中 600g: 68,000원
소꼬리 전골 中 600g: 65,000원
오징어미나리전: 20,000원
우렁미나리전: 15,000원
우렁 칼국수무침: 19,000원
소고기삼겹 두부김치: 15,000원
칼칼한 바지락탕: 15,000원
칼칼한 굴탕: 15,000원
매운 소고기 두부전골: 18,000원
스지 된장전골: 14,000원
표고버섯 된장전골: 13,000원
들깨 된장전골: 12,000원
우렁 된장전골: 13,000원
굴 된장전골: 13,000원
(점심특선) 스지 된장전골: 12,000원
(점심특선) 표고버섯 된장전골: 11,000원
(점심특선) 굴 된장전골: 11,000원
(점심특선) 우렁 된장전골: 11,000원
(점심특선) 들깨 된장전골: 10,000원","{
    ""월"": {
        ""영업시간"": ""11:00 - 00:00"",
        ""브레이크타임"": ""15:00 - 16:30"",
        ""라스트오더"": ""23:00""
    },
    ""화"": {
        ""영업시간"": ""11:00 - 00:00"",
        ""브레이크타임"": ""15:00 - 16:30"",
        ""라스트오더"": ""23:00""
    },
    ""수"": {
        ""영업시간"": ""11:00 - 00:00"",
        ""브레이크타임"": ""15:00 - 16:30"",
        ""라스트오더"": ""23:00""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)11:00 - 00:00"",
        ""브레이크타임"": ""15:00 - 16:30"",
        ""라스트오더"": ""23:00""
    },
    ""금"": {
        ""영업시간"": ""11:00 - 00:00"",
        ""브레이크타임"": ""15:00 - 16:30"",
        ""라스트오더"": ""23:00""
    },
    ""토"": {
        ""영업시간"": ""11:00 - 00:00"",
        ""브레이크타임"": ""15:00 - 16:30"",
        ""라스트오더"": ""23:00""
    },
    ""일"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:00""
    }
}"
매화곤드레밥 광명점,"경기도 광명시 밤일로 63 매화곤드레밥 광명밤일마을점 지번
지도보기",0507-1368-8583,"매화곤드레 정식: 15,000원
곤드레 매콤 제육 정식: 17,500원
곤드레 파 불고기 정식: 17,500원
곤드레 직화 불주꾸미 정식: 18,500원
매콤 제육볶음: 15,000원
대파 간장 돼지불고기: 15,000원
직화 불주꾸미: 16,000원
곤드레 전병: 10,000원
청국장 포장: 5,000원
매화곤드레 정식: 15,000원
곤드레 매콤 제육 정식: 17,500원
곤드레 파 불고기 정식: 17,500원
곤드레 직화 불주꾸미 정식: 18,500원
매콤 제육볶음: 15,000원
대파 간장 돼지불고기: 15,000원
직화 불주꾸미: 16,000원
곤드레 전병: 10,000원
청국장 포장: 5,000원","{
    ""월"": {
        ""영업시간"": ""11:00 - 20:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:00""
    },
    ""화"": {
        ""영업시간"": ""11:00 - 20:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:00""
    },
    ""수"": {
        ""영업시간"": ""11:00 - 20:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:00""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)11:00 - 20:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:00""
    },
    ""금"": {
        ""영업시간"": ""11:00 - 20:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:00""
    },
    ""토"": {
        ""영업시간"": ""11:00 - 20:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:00""
    },
    ""일"": {
        ""영업시간"": ""11:00 - 20:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:00""
    }
}"
명가원,"경기 광명시 노온사동 158-6 지번
지도보기",02-3666-7755,"보리굴비정식: 33,000원
들정식(평일특선): 23,000원
산정식: 29,000원
강정식: 39,000원
진정식: 53,000원
명가원정식: 67,000원
스페셜정식: 80,000원
계절샐러드 탕평채 궁중잡채: 5,000원
삼합: 40,000원
갈비찜: 40,000원
활어회(광어): 40,000원
육회: 35,000원
해물지리탕: 30,000원
전통 불고기: 30,000원
보리굴비: 22,000원
보리굴비정식: 33,000원
들정식(평일특선): 23,000원
산정식: 29,000원
강정식: 39,000원
진정식: 53,000원
명가원정식: 67,000원
스페셜정식: 80,000원
계절샐러드 탕평채 궁중잡채: 5,000원
삼합: 40,000원
갈비찜: 40,000원
활어회(광어): 40,000원
육회: 35,000원
해물지리탕: 30,000원
전통 불고기: 30,000원
보리굴비: 22,000원","{
    ""월"": {
        ""영업시간"": ""11:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""화"": {
        ""영업시간"": ""11:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""수"": {
        ""영업시간"": ""11:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)11:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""금"": {
        ""영업시간"": ""11:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""토"": {
        ""영업시간"": ""11:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""일"": {
        ""영업시간"": ""11:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    }
}"
콩두 철산역점,"경기도 광명시 철산로 15 웅진빌딩 지번
지도보기",0507-1341-1585,"두부굴오뎅탕: 16,000원
소고기육전: 18,000원
곤드레나물전병: 15,000원
오징어순대 1마리: 10,000원
오징어순대 2마리: 19,000원
순두부비빔밥: 7,500원
두부두루치기: 18,000원
콩비지비빔밥: 7,500원
청국장비빔밥: 8,500원
해물순두부: 8,500원
두부뚝제육덮밥: 8,500원
낙지덮밥: 8,500원
차돌된장찌개: 8,500원
손두부김치찌개: 8,000원
콩국수: 8,000원
김치말이국수: 7,500원
떡만두국: 8,000원
굴국밥: 8,500원
두부명이보쌈 대: 40,000원
두부명이보쌈 중: 35,000원
홍어사합: 45,000원
흑임자두부김치: 18,000원
두부버섯전골: 30,000원
매콤오돌족발: 20,000원
순두부해물전골: 18,000원
두부굴오뎅탕: 16,000원
소고기육전: 18,000원
곤드레나물전병: 15,000원
오징어순대 1마리: 10,000원
오징어순대 2마리: 19,000원
순두부비빔밥: 7,500원
두부두루치기: 18,000원
콩비지비빔밥: 7,500원
청국장비빔밥: 8,500원
해물순두부: 8,500원
두부뚝제육덮밥: 8,500원
낙지덮밥: 8,500원
차돌된장찌개: 8,500원
손두부김치찌개: 8,000원
콩국수: 8,000원
김치말이국수: 7,500원
떡만두국: 8,000원
굴국밥: 8,500원
두부명이보쌈 대: 40,000원
두부명이보쌈 중: 35,000원
홍어사합: 45,000원
흑임자두부김치: 18,000원
두부버섯전골: 30,000원
매콤오돌족발: 20,000원
순두부해물전골: 18,000원","{
    ""월"": {
        ""영업시간"": ""10:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""화"": {
        ""영업시간"": ""10:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""수"": {
        ""영업시간"": ""10:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)10:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""금"": {
        ""영업시간"": ""10:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""토"": {
        ""영업시간"": ""10:30 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""일"": {
        ""영업시간"": ""휴무일""
    }
}"
사리원불고기 롯데몰 광명점,"경기도 광명시 일직로 17 5층 지번
지도보기",02-6226-2782,"사리원불고기: 24,000원
육수불고기세트: 24,000원
불고기쌈밥정식: 24,000원
바싹불고기 세트: 38,000원
바싹불고기 단품: 22,000원
불고기버섯전골: 21,000원
사리원불고기: 24,000원
육수불고기세트: 24,000원
불고기쌈밥정식: 24,000원
바싹불고기 세트: 38,000원
바싹불고기 단품: 22,000원
불고기버섯전골: 21,000원","{
    ""월"": {
        ""영업시간"": ""10:00 - 22:00"",
        ""브레이크타임"": ""20:00 - 21:00"",
        ""라스트오더"": ""21:30""
    },
    ""화"": {
        ""영업시간"": ""10:00 - 22:00"",
        ""브레이크타임"": ""20:00 - 21:00"",
        ""라스트오더"": ""21:30""
    },
    ""수"": {
        ""영업시간"": ""10:00 - 20:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)10:00 - 22:00"",
        ""브레이크타임"": ""20:00 - 21:00"",
        ""라스트오더"": ""21:30""
    },
    ""금"": {
        ""영업시간"": ""10:00 - 22:00"",
        ""브레이크타임"": ""20:00 - 21:00"",
        ""라스트오더"": ""21:30""
    },
    ""토"": {
        ""영업시간"": ""10:00 - 22:00"",
        ""브레이크타임"": ""20:00 - 21:00"",
        ""라스트오더"": ""21:30""
    },
    ""일"": {
        ""영업시간"": ""10:00 - 22:00"",
        ""브레이크타임"": ""20:00 - 21:00"",
        ""라스트오더"": ""21:30""
    }
}"
