이름,주소,전화번호,메뉴,영업시간
소이밥상,"서울특별시 금천구 벚꽃로 266 마리오아울렛 3관13층 지번
지도보기",,"스키야키: 12,000원
클래식함바그: 9,900원
흑돈등심카츠: 8,900원
흑돈안심카츠: 9,900원
가쓰오우동: 7,000원
스키야키: 12,000원
클래식함바그: 9,900원
흑돈등심카츠: 8,900원
흑돈안심카츠: 9,900원
가쓰오우동: 7,000원","{
    ""월"": {
        ""영업시간"": ""정보 없음"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""화"": {
        ""영업시간"": ""정보 없음"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""수"": {
        ""영업시간"": ""정보 없음"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)영업시간 확인 필요"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""금"": {
        ""영업시간"": ""정보 없음"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""토"": {
        ""영업시간"": ""정보 없음"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""일"": {
        ""영업시간"": ""정보 없음"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    }
}"
켄타로,"서울특별시 금천구 시흥대로56길 9 1층 지번
지도보기",0507-1414-5431,"히레카츠 정식(안심): 16,000원
규동 정식: 14,000원
코카콜라 335ml: 3,000원
코카콜라 제로  355ml: 3,000원
칠성사이다 335ml: 3,000원
스프라이트 제로 355ml: 3,000원
품절메뉴는 선택에서 보이지 않습니다: 999,999원
****홀매장 한정메뉴****: 999,999원
(사이드)안심추가: 8,000원
(사이드)등심추가: 10,000원
닥터페퍼 355ml: 4,000원
밀키스 340ml: 4,000원
카츠동 정식: 14,000원
김치 니코미 우동: 13,000원
**매장 식사 미리 주문**: 0원
로스카츠 정식(등심): 14,000원
야끼소바: 15,000원
텐동 정식: 15,000원
김치카츠나베: 16,000원
치킨난반(레귤러사이즈): 23,000원
*****전체메뉴*****: 0원
치킨난반정식+김치카츠나베 세트: 31,000원
히레카츠 정식(안심): 16,000원
규동 정식: 14,000원
코카콜라 335ml: 3,000원
코카콜라 제로  355ml: 3,000원
칠성사이다 335ml: 3,000원
스프라이트 제로 355ml: 3,000원
품절메뉴는 선택에서 보이지 않습니다: 999,999원
****홀매장 한정메뉴****: 999,999원
(사이드)안심추가: 8,000원
(사이드)등심추가: 10,000원
닥터페퍼 355ml: 4,000원
밀키스 340ml: 4,000원
카츠동 정식: 14,000원
김치 니코미 우동: 13,000원
**매장 식사 미리 주문**: 0원
로스카츠 정식(등심): 14,000원
야끼소바: 15,000원
텐동 정식: 15,000원
김치카츠나베: 16,000원
치킨난반(레귤러사이즈): 23,000원
*****전체메뉴*****: 0원
치킨난반정식+김치카츠나베 세트: 31,000원","{
    ""월"": {
        ""영업시간"": ""11:00 - 21:30"",
        ""브레이크타임"": ""14:00 - 17:00"",
        ""라스트오더"": ""13:30, 21:00""
    },
    ""화"": {
        ""영업시간"": ""11:00 - 21:30"",
        ""브레이크타임"": ""14:00 - 17:00"",
        ""라스트오더"": ""13:30, 21:00""
    },
    ""수"": {
        ""영업시간"": ""11:00 - 21:30"",
        ""브레이크타임"": ""14:00 - 17:00"",
        ""라스트오더"": ""13:30, 21:00""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)11:00 - 21:30"",
        ""브레이크타임"": ""14:00 - 17:00"",
        ""라스트오더"": ""13:30, 21:00""
    },
    ""금"": {
        ""영업시간"": ""11:00 - 21:30"",
        ""브레이크타임"": ""14:00 - 17:00"",
        ""라스트오더"": ""13:30, 21:00""
    },
    ""토"": {
        ""영업시간"": ""11:00 - 21:30"",
        ""브레이크타임"": ""14:00 - 17:00"",
        ""라스트오더"": ""13:30, 21:00""
    },
    ""일"": {
        ""영업시간"": ""11:00 - 21:30"",
        ""브레이크타임"": ""14:00 - 17:00"",
        ""라스트오더"": ""13:30, 21:00""
    }
}"
오늘돈카츠,"서울특별시 금천구 가산디지털1로 171 가산SKV1센터 1층 103호 지번
지도보기",0507-1384-8907,"등심돈카츠: 10,000원
안심돈카츠: 12,000원
치즈돈카츠: 12,000원
카레돈카츠: 12,000원
카레추가: 2,000원
탄산음료: 2,000원
등심돈카츠: 10,000원
안심돈카츠: 12,000원
치즈돈카츠: 12,000원
카레돈카츠: 12,000원
카레추가: 2,000원
탄산음료: 2,000원","{
    ""월"": {
        ""영업시간"": ""11:00 - 20:00"",
        ""브레이크타임"": ""14:30 - 17:00"",
        ""라스트오더"": ""19:30""
    },
    ""화"": {
        ""영업시간"": ""11:00 - 20:00"",
        ""브레이크타임"": ""14:30 - 17:00"",
        ""라스트오더"": ""19:30""
    },
    ""수"": {
        ""영업시간"": ""휴무일""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)11:00 - 20:00"",
        ""브레이크타임"": ""14:30 - 17:00"",
        ""라스트오더"": ""19:30""
    },
    ""금"": {
        ""영업시간"": ""11:00 - 20:00"",
        ""브레이크타임"": ""14:30 - 17:00"",
        ""라스트오더"": ""19:30""
    },
    ""토"": {
        ""영업시간"": ""11:00 - 15:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""14:30""
    },
    ""일"": {
        ""영업시간"": ""휴무일""
    }
}"
코코로식당,"서울특별시 금천구 벚꽃로38길 32-25 2층 지번
지도보기",0507-1356-4668,"안심카츠 카레: 12,000원
냉모밀: 9,000원
등심카츠: 10,000원
안심카츠: 12,000원
안심카츠동: 10,000원
얼큰카츠나베: 10,000원
카츠나베: 10,000원
에비후라이동: 9,000원
스페셜카레: 15,000원
에비후라이카레: 10,000원
카츠에비후라이카레: 14,000원
가라아게동: 9,000원
안심믹스카츠: 14,000원
치즈카츠: 13,000원
코코로카츠: 15,000원
스페셜카츠: 14,000원
등심카츠 카레: 12,000원
등심카츠동: 10,000원
믹스후라이동: 12,000원
안심카츠 카레: 12,000원
냉모밀: 9,000원
등심카츠: 10,000원
안심카츠: 12,000원
안심카츠동: 10,000원
얼큰카츠나베: 10,000원
카츠나베: 10,000원
에비후라이동: 9,000원
스페셜카레: 15,000원
에비후라이카레: 10,000원
카츠에비후라이카레: 14,000원
가라아게동: 9,000원
안심믹스카츠: 14,000원
치즈카츠: 13,000원
코코로카츠: 15,000원
스페셜카츠: 14,000원
등심카츠 카레: 12,000원
등심카츠동: 10,000원
믹스후라이동: 12,000원","{
    ""월"": {
        ""영업시간"": ""11:10 - 23:00"",
        ""브레이크타임"": ""14:10 - 17:30"",
        ""라스트오더"": ""22:00""
    },
    ""화"": {
        ""영업시간"": ""11:10 - 23:00"",
        ""브레이크타임"": ""14:10 - 17:30"",
        ""라스트오더"": ""22:00""
    },
    ""수"": {
        ""영업시간"": ""휴무일""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)11:10 - 23:00"",
        ""브레이크타임"": ""14:10 - 17:30"",
        ""라스트오더"": ""22:00""
    },
    ""금"": {
        ""영업시간"": ""11:10 - 23:00"",
        ""브레이크타임"": ""14:10 - 17:30"",
        ""라스트오더"": ""22:00""
    },
    ""토"": {
        ""영업시간"": ""휴무일""
    },
    ""일"": {
        ""영업시간"": ""휴무일""
    }
}"
스시초이,"서울특별시 금천구 가산디지털1로 171 지번
지도보기",02-861-5519,"모듬초밥: 17,000원
특초밥: 19,500원
알탕: 9,000원
알밥: 8,000원
회덮밥: 9,000원
회덮밥세트: 10,000원
새우튀김: 15,000원
모듬튀김: 17,000원
도미연어 머리구이: 18,000원
시샤모구이: 18,000원
메로구이: 29,000원
삼겹살숙주볶음: 18,000원
해물야끼우동: 18,000원
런치초밥: 11,500원
곤이알탕: 9,000원
모듬초밥: 17,000원
특초밥: 19,500원
알탕: 9,000원
알밥: 8,000원
회덮밥: 9,000원
회덮밥세트: 10,000원
새우튀김: 15,000원
모듬튀김: 17,000원
도미연어 머리구이: 18,000원
시샤모구이: 18,000원
메로구이: 29,000원
삼겹살숙주볶음: 18,000원
해물야끼우동: 18,000원
런치초밥: 11,500원
곤이알탕: 9,000원","{
    ""월"": {
        ""영업시간"": ""11:30 - 21:30"",
        ""브레이크타임"": ""14:30 - 17:30"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""화"": {
        ""영업시간"": ""11:30 - 21:30"",
        ""브레이크타임"": ""14:30 - 17:30"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""수"": {
        ""영업시간"": ""휴무일""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)11:30 - 21:30"",
        ""브레이크타임"": ""14:30 - 17:30"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""금"": {
        ""영업시간"": ""11:30 - 21:30"",
        ""브레이크타임"": ""14:30 - 17:30"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""토"": {
        ""영업시간"": ""휴무일""
    },
    ""일"": {
        ""영업시간"": ""휴무일""
    }
}"
갓포소,"서울특별시 금천구 가산디지털2로 144 현대테라타워가산DK 1층 106호 지번
지도보기",0507-1341-1258,"갓포소 숙성 모둠사시미 (1인기준): 28,000원
런치스페셜스시19: 19,000원
런치스페셜스시28: 28,000원
카이센동18: 18,000원
카이센동29: 29,000원
사케동15: 15,000원
사케동19: 19,000원
우나기동: 20,000원
뎀뿌라덮밥: 15,000원
런치스페셜스시13: 13,000원
간사이식 얼큰튀김어묵 우동: 13,000원
한국식 회덮밥: 11,000원
메로구이: 24,000원
한우++규스지: 22,000원
토마카도: 9,000원
크림새우튀김: 20,000원
고추치킨 가라아게: 20,000원
새우/야채튀김: 20,000원
나가사끼 나베: 28,000원
스키야끼: 35,000원
갓포소 숙성 모둠사시미 (1인기준): 28,000원
런치스페셜스시19: 19,000원
런치스페셜스시28: 28,000원
카이센동18: 18,000원
카이센동29: 29,000원
사케동15: 15,000원
사케동19: 19,000원
우나기동: 20,000원
뎀뿌라덮밥: 15,000원
런치스페셜스시13: 13,000원
간사이식 얼큰튀김어묵 우동: 13,000원
한국식 회덮밥: 11,000원
메로구이: 24,000원
한우++규스지: 22,000원
토마카도: 9,000원
크림새우튀김: 20,000원
고추치킨 가라아게: 20,000원
새우/야채튀김: 20,000원
나가사끼 나베: 28,000원
스키야끼: 35,000원","{
    ""월"": {
        ""영업시간"": ""11:30 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""21:30""
    },
    ""화"": {
        ""영업시간"": ""11:30 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""21:30""
    },
    ""수"": {
        ""영업시간"": ""11:30 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""21:30""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)11:30 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""21:30""
    },
    ""금"": {
        ""영업시간"": ""11:30 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""21:30""
    },
    ""토"": {
        ""영업시간"": ""11:00 - 20:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""19:30""
    },
    ""일"": {
        ""영업시간"": ""휴무일""
    }
}"
테리야끼,"서울특별시 금천구 가산디지털2로 98 롯데IT캐슬 2동 1층 115호 지번
지도보기",02-2026-8292,"돈코츠라멘: 8,500원
얼큰나베: 9,500원
돈가스메밀: 9,000원
카레가라아게: 9,000원
돈까스: 9,500원
돈코츠라멘: 8,500원
얼큰나베: 9,500원
돈가스메밀: 9,000원
카레가라아게: 9,000원
돈까스: 9,500원","{
    ""월"": {
        ""영업시간"": ""10:30 - 15:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""화"": {
        ""영업시간"": ""10:30 - 15:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""수"": {
        ""영업시간"": ""휴무일""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)10:30 - 15:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""금"": {
        ""영업시간"": ""10:30 - 15:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""토"": {
        ""영업시간"": ""휴무일""
    },
    ""일"": {
        ""영업시간"": ""휴무일""
    }
}"
고칸 가산점,"서울특별시 금천구 가산디지털2로 101 2층 214호 지번
지도보기",0507-1373-2147,"연어새우장동: 12,900원
사케동: 11,900원
연어장동: 12,900원
간장새우장동: 10,900원
큐브스테이크동: 11,900원
핫큐브스테이크동: 11,900원
규동: 7,900원
불규동: 7,900원
항정살덮밥: 10,900원
불항정살덮밥: 10,900원
돈카츠카레: 9,900원
치킨가라아게카레: 9,900원
새우튀김카레: 9,900원
치킨가라아게: 5,500원
연어새우장동: 12,900원
사케동: 11,900원
연어장동: 12,900원
간장새우장동: 10,900원
큐브스테이크동: 11,900원
핫큐브스테이크동: 11,900원
규동: 7,900원
불규동: 7,900원
항정살덮밥: 10,900원
불항정살덮밥: 10,900원
돈카츠카레: 9,900원
치킨가라아게카레: 9,900원
새우튀김카레: 9,900원
치킨가라아게: 5,500원","{
    ""월"": {
        ""영업시간"": ""11:00 - 20:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""화"": {
        ""영업시간"": ""11:00 - 20:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""수"": {
        ""영업시간"": ""휴무일""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)11:00 - 20:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""금"": {
        ""영업시간"": ""11:00 - 20:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""토"": {
        ""영업시간"": ""휴무일""
    },
    ""일"": {
        ""영업시간"": ""휴무일""
    }
}"
호랑이초밥 가산디지털단지점,"서울특별시 금천구 가산디지털1로 186 제이플라츠 지하1층 118-2호 지번
지도보기",02-6344-0962,"*호랑이 모둠초밥 +전통냄비우동+모밀: 12,000원
*호랑이 특모둠초밥+전통냄비우동+모밀: 17,000원
*호랑이 오마카세+전통냄비우동+모밀: 23,000원
직화구이모둠초밥+전통냄비우동+모밀: 16,000원
*모둠사시미(소)+전통냄비우동+모밀: 28,000원
*모둠사시미(중)+전통냄비우동+모밀: 42,000원
*모둠사시미(대)+전통냄비우동+모밀: 60,000원
*세트A(2인)+전통냄비우동+모일: 35,000원
*세트B(2인)+전통냄비우동+모밀: 39,000원
*호랑이 모둠초밥 +전통냄비우동+모밀: 12,000원
*호랑이 특모둠초밥+전통냄비우동+모밀: 17,000원
*호랑이 오마카세+전통냄비우동+모밀: 23,000원
직화구이모둠초밥+전통냄비우동+모밀: 16,000원
*모둠사시미(소)+전통냄비우동+모밀: 28,000원
*모둠사시미(중)+전통냄비우동+모밀: 42,000원
*모둠사시미(대)+전통냄비우동+모밀: 60,000원
*세트A(2인)+전통냄비우동+모일: 35,000원
*세트B(2인)+전통냄비우동+모밀: 39,000원","{
    ""월"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""21:30""
    },
    ""화"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""21:30""
    },
    ""수"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""21:30""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)11:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""21:30""
    },
    ""금"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""21:30""
    },
    ""토"": {
        ""영업시간"": ""11:30 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""21:30""
    },
    ""일"": {
        ""영업시간"": ""11:30 - 22:00"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""21:30""
    }
}"
스시옥,"서울특별시 금천구 시흥대로 399 씨티렉스 108호 지번
지도보기",02-806-7877,"오늘한판: 16,000원
특선한판: 20,000원
연어반&소고기반: 18,500원
제이드 런치 코스: 12,000원
제이드사시미코스: 32,000원
스페셜한판: 24,000원
어린이한판: 10,000원
연어한판: 19,000원
광어한판: 19,000원
소고기한판(살치살): 21,000원
연어반&연어아부리반: 19,500원
연어반&광어반: 19,000원
연어반&장새우반: 18,000원
연어반&참치반: 18,000원
연어반&초새우(익은)반: 16,000원
소고기반&장새우반: 19,000원
광어반&장새우반: 18,000원
광어반&소고기반: 18,500원
광어반&참치반: 18,000원
광어반&초새우(익은)반: 16,000원
生 연어사시미(280g): 27,000원
活광어 사미시(280g): 30,000원
生 연어사시미 & 광어사시미: 35,000원
모듬사시미(중,대,특대): 
물회(우동면포함): 14,000원
장새우동12.000사케동12.000: 
모듬회덮밥,生연어회덮밥,活광어회덮밥: 
제이드 돈까스 정식: 10,000원
김치나베우동,우동: 
모듬 튀김: 12,000원
치킨가라아게,왕새우튀김,야채고로케: 
맥주,소주: 
잔사케(대과컵,고래컵,수복원컵): 
음료: 
오늘한판: 16,000원
특선한판: 20,000원
연어반&소고기반: 18,500원
제이드 런치 코스: 12,000원
제이드사시미코스: 32,000원
스페셜한판: 24,000원
어린이한판: 10,000원
연어한판: 19,000원
광어한판: 19,000원
소고기한판(살치살): 21,000원
연어반&연어아부리반: 19,500원
연어반&광어반: 19,000원
연어반&장새우반: 18,000원
연어반&참치반: 18,000원
연어반&초새우(익은)반: 16,000원
소고기반&장새우반: 19,000원
광어반&장새우반: 18,000원
광어반&소고기반: 18,500원
광어반&참치반: 18,000원
광어반&초새우(익은)반: 16,000원
生 연어사시미(280g): 27,000원
活광어 사미시(280g): 30,000원
生 연어사시미 & 광어사시미: 35,000원
모듬사시미(중,대,특대): 
물회(우동면포함): 14,000원
장새우동12.000사케동12.000: 
모듬회덮밥,生연어회덮밥,活광어회덮밥: 
제이드 돈까스 정식: 10,000원
김치나베우동,우동: 
모듬 튀김: 12,000원
치킨가라아게,왕새우튀김,야채고로케: 
맥주,소주: 
잔사케(대과컵,고래컵,수복원컵): 
음료: ","{
    ""월"": {
        ""영업시간"": ""11:30 - 21:30"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""21:00""
    },
    ""화"": {
        ""영업시간"": ""11:30 - 21:30"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""21:00""
    },
    ""수"": {
        ""영업시간"": ""휴무일""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)11:30 - 21:30"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""21:00""
    },
    ""금"": {
        ""영업시간"": ""11:30 - 21:30"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""21:00""
    },
    ""토"": {
        ""영업시간"": ""11:30 - 21:30"",
        ""브레이크타임"": ""15:00 - 17:00"",
        ""라스트오더"": ""21:00""
    },
    ""일"": {
        ""영업시간"": ""휴무일""
    }
}"
